case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FRG-1::169990-0,FRG-1,169990-0,PIMS,Barakahu,2026-04-23T07:20:00+05:00,2026-04-23T07:50:00+05:00,1800,30 min 0 sec,10
FRG-1::169991-0,FRG-1,169991-0,PIMS,Barakahu,2026-04-23T07:25:00+05:00,2026-04-23T07:55:00+05:00,1800,30 min 0 sec,10
FRG-1::169992-0,FRG-1,169992-0,PIMS,Barakahu,2026-04-23T07:30:00+05:00,2026-04-23T08:00:00+05:00,1800,30 min 0 sec,10
FRG-1::169993-0,FRG-1,169993-0,PIMS,Barakahu,2026-04-23T07:35:00+05:00,2026-04-23T08:05:00+05:00,1800,30 min 0 sec,10
FRG-1::169994-0,FRG-1,169994-0,PIMS,Barakahu,2026-04-23T07:40:00+05:00,2026-04-23T08:10:00+05:00,1800,30 min 0 sec,10
FRG-1::169995-0,FRG-1,169995-0,PIMS,Barakahu,2026-04-23T07:45:00+05:00,2026-04-23T08:15:00+05:00,1800,30 min 0 sec,10
FRG-1::169996-0,FRG-1,169996-0,PIMS,Barakahu,2026-04-23T07:50:00+05:00,2026-04-23T08:20:00+05:00,1800,30 min 0 sec,10
FRG-1::169997-0,FRG-1,169997-0,PIMS,Barakahu,2026-04-23T07:55:00+05:00,2026-04-23T08:25:00+05:00,1800,30 min 0 sec,10
FRG-1::169998-0,FRG-1,169998-0,PIMS,Barakahu,2026-04-23T08:00:00+05:00,2026-04-23T08:30:00+05:00,1800,30 min 0 sec,10
FRG-1::169999-0,FRG-1,169999-0,PIMS,Barakahu,2026-04-23T08:05:00+05:00,2026-04-23T08:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170000-0,FRG-1,170000-0,PIMS,Barakahu,2026-04-23T08:10:00+05:00,2026-04-23T08:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170001-0,FRG-1,170001-0,PIMS,Barakahu,2026-04-23T08:15:00+05:00,2026-04-23T08:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170002-0,FRG-1,170002-0,PIMS,Barakahu,2026-04-23T08:20:00+05:00,2026-04-23T08:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170003-0,FRG-1,170003-0,PIMS,Barakahu,2026-04-23T08:25:00+05:00,2026-04-23T08:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170004-0,FRG-1,170004-0,PIMS,Barakahu,2026-04-23T08:30:00+05:00,2026-04-23T09:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170005-0,FRG-1,170005-0,PIMS,Barakahu,2026-04-23T08:35:00+05:00,2026-04-23T09:05:00+05:00,1800,30 min 0 sec,10
