stop_name_normalized,stop_name,routes,route_count,first_seen_sequence,latitude,longitude,coordinate_quality,coordinate_note,google_latitude,google_longitude,verification_note
islamabad international hospital,Islamabad International Hospital,FR-10,1,13,33.625,73.056,verified,Seed coordinate for key Islamabad stop.,,,
islamic university,Islamic University,FR-01,1,4,33.6593,73.0242,verified,Seed coordinate for key Islamabad stop.,,,
jinnah colony,Jinnah Colony,FR-12,1,6,33.622,73.094,verified,Seed coordinate for key Islamabad stop.,,,
kaak pul,Kaak Pul,FR-15,1,12,33.5434,73.1795,verified,Seed coordinate for key Islamabad stop.,,,
kach naar park i 8,Kach Naar Park I-8,"FR-08C, FRB-01",2,5,33.672,73.078,verified,Seed coordinate for key Islamabad stop.,,,
karachi company,Karachi Company,"FR-06, FR-07",2,7,33.6905,73.0285,verified,Seed coordinate for key Islamabad stop.,,,
kashmir chowk,Kashmir Chowk,"FR-08A, FR-14",2,6,33.708,73.088,verified,Seed coordinate for key Islamabad stop.,,,
katarian chungi,Katarian Chungi,"FR-09, FR-14",2,10,33.6461,73.0531,verified,Seed coordinate for key Islamabad stop.,,,
katarian pull,Katarian Pull,"FR-09, FR-14",2,11,33.6453,73.0538,verified,Seed coordinate for key Islamabad stop.,,,
katchery,Katchery,"FR-03A, ST-01",2,3,33.704,73.042,verified,Seed coordinate for key Islamabad stop.,,,
khanna pul,Khanna Pul,"FR-09, FR-15, FRB-01",3,1,33.6375,73.1235,verified,Seed coordinate for key Islamabad stop.,,,
khayaban e iqbal,Khayaban e Iqbal,FR-05,1,7,33.725,73.005,verified,Seed coordinate for key Islamabad stop.,,,
kohinoor mill,Kohinoor Mill,FR-09,1,23,33.628,73.015,verified,Seed coordinate for key Islamabad stop.,,,
kohinoor mill colony,Kohinoor Mill Colony,FR-09,1,22,33.6295,73.0165,verified,Seed coordinate for key Islamabad stop.,,,
kohsar road,Kohsar Road,FR-03A,1,11,33.718,73.056,verified,Seed coordinate for key Islamabad stop.,,,
kohsar road f 7 marka,Kohsar Road/F-7 Marka,ST-01,1,11,33.7255,73.0615,verified,Seed coordinate for key Islamabad stop.,,,
koral town,Koral Town,"FR-15, FRB-01",2,4,33.6062,73.1492,verified,Seed coordinate for key Islamabad stop.,,,
kurang road stop,Kurang Road Stop,FR-01,1,11,33.642,73.134,verified,Seed coordinate for key Islamabad stop.,,,
kuri road,Kuri Road,"FR-09, FRB-01",2,3,33.6448,73.1145,verified,Seed coordinate for key Islamabad stop.,,,
lake view park,Lake View Park,"FR-14, FRG-1",2,4,33.714,73.121,verified,Seed coordinate for key Islamabad stop.,,,
lodges park,Lodges Park,FR-04,1,16,33.722,73.085,verified,Seed coordinate for key Islamabad stop.,,,
losar sharfoo,Losar Sharfoo,FR-12,1,8,33.7515,72.7835,verified,Seed coordinate for key Islamabad stop.,,,
mci model school,MCI Model School,FR-01,1,17,33.7045,73.0815,verified,Seed coordinate for key Islamabad stop.,,,
madni chowk,Madni Chowk,FR-13,1,10,33.641,73.053,verified,Seed coordinate for key Islamabad stop.,,,
major road,Major Road,FR-06,1,21,33.6555,73.0765,verified,Seed coordinate for key Islamabad stop.,,,
malakand stop,Malakand Stop,FR-12,1,14,33.7842,72.7215,verified,Seed coordinate for key Islamabad stop.,,,
malpur,Malpur,"FR-14, FRG-1",2,3,33.7277,73.1497,verified,Seed coordinate for key Islamabad stop.,,,
mandi morh,Mandi Morh,"FR-01, FR-09, FR-14",3,10,33.6517,73.0392,verified,Seed coordinate for key Islamabad stop.,,,
